Ouvriers et manoeuvres,,
"à coulisse, hauteur 12,00 m, la journée de 8 h",U,"20,59€"
"à coulisse, hauteur 14,00 m, la journée de 8 h",U,"25,94€"
"de service, la journée de 8 h",m,"1,21€"
"de service, pose, dépose et double transport, les 30 jours de 8 h",m,"4,39€"
Eclairage mobile,,
"Ballon éclairant 2000 w, à la journée",j,"51,38€"
Elévateur,,
"2 tonnes, 2 roues motrices, la journée de 8 h",U,"161,70€"
"2,5 tonnes, 4 roues motrices, la journée de 8 h",U,"177,92€"
"3 tonnes, 4 roues motrices, la journée de 8 h",U,"200,06€"
Etais,,
"10 unités, la journée de 8 h",U,"8,88€"
à l'unité,U,"1,12€"
Foret diamant,,
Diamètre 52 mm,U,"213,48€"
Diamètre 102 mm,U,"340,01€"
Diamètre 152 mm,U,"499,55€"
Diamètre 200 mm,U,"613,99€"
Diamètre 250 mm,U,"840,66€"
Diamètre 300 mm,U,"1 029,92 €"
Foreuse /caroteuse,,
"2200/2800 W, diamètre 46 à 120 mm",j,"109,48€"
"3000/4400 W, diamètre jusqu'à 300 mm",j,"122,34€"
Foreuse pour micropieux,h,"293,27€"
Garde-corps,,
"en planches jointives en sapin, hauteur 0,90 m, épaisseur 27 mm",m,"19,26€"
Godet,,
"à béton, la journée de 8 h",U,"25,75€"
Groupe électrogène,,
"puissance 1500 w, la journée de 8 h",U,"29,29€"
"puissance 3000 w, la journée de 8 h",U,"32,63€"
"puissance 4000 w, la journée de 8 h",U,"35,63€"
"puissance 5000 w, la journée de 8 h",U,"80,34€"
"puissance 7000 w, la journée de 8 h",U,"42,44€"
Grue de chantier,,
"hauteur 13 m, le mois de 169 h",U,"868,14€"
"hauteur 16 m, le mois de 169 h",U,"1 001,63 €"
"sapine, hauteur 7 m, la semaine de 39 h",U,"263,18€"
"sapine, hauteur 7 m, le mois de 169 h",U,"533,98€"
Grue automotrice capacité de 30 tonnes,h,"101,45€"
Hydrogommeuse,h,"17,64€"
Lève-plaque,h,"2,73€"
Machine à crépir,,
"avec compresseur, la journée de 8 h",U,"39,10€"
Machine à détapisser,,
la journée de 8 h,U,"16,21€"
"Machine à projeter les enduits, la journée de 8 h",U,"133,02€"
Marteau brise béton,,
la journée de 8 h,U,"64,44€"
Marteau piqueur,,
"avec compresseur, puissance fiscale 20 CV, la journée de 8 h",U,"84,30€"
"électrique, la journée de 8 h",U,"41,95€"
Meuleuse,,
"de tête, la journée de 8 h",U,"19,45€"
"électrique sur établi, la journée de 8 h",U,"25,94€"
"à essence pour sol, puissance fiscale 6 CV, la journée de 8 h",U,"48,82€"
"tronçonneuse électrique, la journée de 8 h",U,"18,12€"
Minipelle,,
"Minipelle 8,5 T, à la journée",j,"358,57€"
"Minipelle 5,5 T, à la journée",j,"277,74€"
"Minipelle 4,5 T, à la journée",j,"260,02€"
"Minipelle 3,5 T, à la journée",j,"227,55€"
"Minipelle 2,5 T, à la journée",j,"183,21€"
"Minipelle 1,5 T, à la journée",j,"154,40€"
Montage et démontage de grue,U,"156,37€"
Monte-matériaux,,
Monte-matériaux 25 m sur remorque,j,"173,34€"
Monte-matériaux télescopique < 15 m,j,"68,54€"
Moto-pompe,,
"20 m3/h, la journée de 8 h",U,"40,61€"
"50 m3/h, la journée de 8 h",U,"45,77€"
"60 m3/h, la journée de 8 h",U,"258,66€"
"120 m3/h, la journée de 8 h",U,"372,34€"
Plateforme élevatrice,,
"Electrique, jusqu'à 8 m, location 1 mois",U,"1 048,11 €"
"Electrique, jusqu'à 10 m, location 1 mois",U,"1 299,26 €"
"Electrique, jusqu'à 12 m, location 1 mois",U,"1 531,87 €"
"Diesel, jusqu'à 12 m, location 1 mois",U,"2 319,97 €"
"Electrique, jusqu'à 8 m, location à la journée",U,"63,70€"
"Electrique, jusqu'à 10 m, location à la journée",U,"78,22€"
"Electrique, jusqu'à 12 m, location à la journée",U,"91,10€"
"Diesel, jusqu'à 12 m, location à la journée",U,"136,25€"
Nacelle automotrice,,
"Electrique, jusqu'à 6 m, location 1 mois",U,"1 773,73 €"
"Electrique, jusqu'à 8 m, location 1 mois",U,"1 877,73 €"
"Electrique, jusqu'à 10 m, location 1 mois",U,"2 001,09 €"
"Electrique, jusqu'à 15 m, location 1 mois",U,"2 510,69 €"
"Diesel, jusqu'à 16 m, location 1 mois",U,"3 092,75 €"
"Diesel, jusqu'à 20 m, location 1 mois",U,"4 833,43 €"
"Electrique, jusqu'à 6 m, location à la journée",U,"89,10€"
"Electrique, jusqu'à 8 m, location à la journée",U,"110,46€"
"Electrique, jusqu'à 10 m, location à la journée",U,"117,70€"
"Electrique, jusqu'à 15 m, location à la journée",U,"138,26€"
"Diesel, jusqu'à 16 m, location à la journée",U,"184,84€"
"Diesel, jusqu'à 20 m, location à la journée",U,"280,17€"
Nettoyeur haute pression,,
"Eau chaude, diesel sur remorque routière avec 2 lance, pression 200 bar",h,"42,07€"
"Eau chaude, électrique 230 V, pression < 100 bar",h,"9,71€"
"Eau froide, électrique 230 V, pression 100/150 bar",h,"3,15€"
"Eau froide, électrique 230/400 V, pression 160/200 bar",h,"3,94€"
"Eau froide, essence, sur roues, pression 100/150 bar",h,"6,04€"
"Eau froide, essence, sur roues, pression 160/200 bar",h,"6,56€"
"Eau froide, essence, sur roues, pression 201/250 bar",h,"9,49€"
kit de sablage,h,"0,66€"
lance haute pression,h,"0,32€"
"Tuyau alimentation d'eau (les 10,00 m)",h,"0,30€"
"Tuyau haute pression (les 10,00 m)",h,"0,63€"
Palan,,
"1000 kg, la journée de 8 h",U,"15,45€"
"1500/5000 kg, la journée de 8 h",U,"19,45€"
"électrique 100/350, la journée de 8 h",U,"35,86€"
Pelle sur chenille,,
13 T à la journée,j,"448,47€"
10 T à la journée,j,"438,40€"
Pilonneuse,,
"A essence, poids 70 kg",j,"35,06€"
Pistolet à paillettes,h,"6,85€"
"Pistolet à peinture, petite surface",h,"3,60€"
Pistolet à peinture pneumatique,h,"10,56€"
Plancher,,
de garantie,m2,"6,96€"
"pour échafaudage, section 400x65 mm, 1er mois",U,"5,96€"
"pour échafaudage, section 400x65 mm, 2e mois",U,"4,82€"
Plancher en bastaings avec pose,,
"longueur 4,00 m, section 180x65 mm, le 1er mois",U,"5,96€"
"longueur 4,00 m, section 180x85 mm, le 2e mois",U,"4,82€"
Plaques vibrantes,,
"plaque de 50/59 kg, essence",h,"5,13€"
"plaque de 60/79 kg, essence",h,"5,13€"
"plaque de 80/119 kg, essence",h,"5,36€"
"plaque de 80/119 kg, diesel",h,"5,74€"
"plaque de 120/159 kg, diesel",h,"6,75€"
"plaque de 160/199 kg, diesel",h,"8,37€"
"plaque de 200/350 kg, diesel",h,"9,35€"
"plaque de 351/500 kg, diesel",h,"16,23€"
"plaque de 501/650 kg, diesel",h,"18,29€"
"Thermique, PQ4, 500 kg, la journée",U,"119,82€"
"Thermique, PQ3/PQ4, 400 kg, la journée",U,"95,64€"
"Thermique, PQ3/PQ4 ,300 kg, la journée",U,"62,28€"
"Thermique, PQ3, 180 kg, la journée",U,"53,52€"
"Thermique, PQ2, 130 kg, la journée",U,"36,78€"
"Thermique, PQ1, 100 kg, la journée",U,"32,24€"
Polisseuse,,
"lustreuse, la journée de 8 h",U,"27,13€"
Pompe,,
"immergée, 230 V, débit 10/14 m3/h",h,"3,70€"
"immergée, 230 V, débit 15/29 m3/h",h,"3,93€"
"immergée, 230 V, débit 30/39 m3/h",h,"4,47€"
"immergée, 400 V, débit 60/80 m3/h",h,"5,62€"
"immergée, 400 V, débit 115/139 m3/h, pour une durée minimum de 3 à 5 jours",h,"7,54€"
"immergée, 400 V, débit 140/179 m3/h, pour une durée minimum de 3 à 5 jours",h,"7,85€"
"immergée, 400 V, débit 180/200 m3/h, pour une durée minimum de 3 à 5 jours",h,"9,28€"
"immergée, 400 V, débit 216/260 m3/h, pour une durée minimum de 3 à 5 jours",h,"10,58€"
"immergée, 400 V, débit 270/300 m3/h, pour une durée minimum de 3 à 5 jours",h,"13,00€"
"immergée, 400 V, débit 350/450 m3/h, pour une durée minimum de 3 à 5 jours",h,"17,21€"
"immergée, 400 V, débit 460/650 m3/h, pour une durée minimum de 3 à 5 jours",h,"25,63€"
"immergée, 400 V, débit 960/1250 m3/h, pour une durée minimum de 3 à 5 jours",h,"40,67€"
"immergée, à boue 230/400 V, débit 40/59 m3/h, pour une durée minimum de 3 à 5 jours",h,"8,23€"
"immergée, à boue 400 V, débit 120/139 m3/h, pour une durée minimum de 3 à 5 jours",h,"11,60€"
"immergée, pneumatique à membrane, débit 20/34 m3/h, pour une durée minimum de 3 à 5 jours",h,"5,25€"
"immergée, pneumatique à membrane, débit 20/30 m3/h, pour une durée minimum de 3 à 5 jours",h,"4,86€"
"de surface, à membrane diesel, débit 15/25 m3/h, pour une durée de 1 à 5 jours",h,"5,84€"
"de surface, à membrane diesel, débit 26/50 m3/h, pour une durée de 1 à 5 jours",h,"6,48€"
"de surface, à membrane essence, débit 15/25 m3/h, pour une durée de 1 à 5 jours",h,"5,03€"
"de surface, à membrane essence, débit 26/50 m3/h, pour une durée de 1 à 5 jours",h,"5,84€"
"de surface, centrifuge essence, débit 20/30 m3/h, pour une durée de 1 à 5 jours",h,"4,79€"
"de surface, centrifuge essence, débit 31/50 m3/h, pour une durée de 1 à 5 jours",h,"4,96€"
"de surface, centrifuge essence, débit 51/70 m3/h, pour une durée de 1 à 5 jours",h,"5,43€"
"de surface, centrifuge essence, débit 75/100 m3/h, pour une durée de 1 à 5 jours",h,"9,33€"
"de surface, centrifuge diesel, débit 35/50 m3/h, pour une durée de 1 à 5 jours",h,"5,25€"
"de surface, centrifuge diesel, débit 55/70 m3/h, pour une durée de 1 à 5 jours",h,"7,08€"
"de surface, centrifuge diesel, débit 75/100 m3/h, pour une durée de 1 à 5 jours",h,"9,08€"
"de surface, centrifuge diesel, débit 100/129 m3/h, pour une durée de 1 à 5 jours",h,"9,35€"
"de surface, centrifuge diesel, débit 130/150 m3/h, pour une durée de 1 à 5 jours",h,"12,81€"
"de surface, centrifuge diesel, débit 160/200 m3/h, pour une durée de 1 à 5 jours",h,"12,66€"
Ponceuse,,
"pour marbre, la journée de 8 h",U,"28,80€"
"vibrante, la journée de 8 h",U,"65,80€"
"pour plafond, la journée de 8 h",U,"10,49€"
"pour sol, la journée de 8 h",U,"18,12€"
"A bande de finition, 230 V",h,"1,64€"
"A bande 800/1000 W, 230 V",h,"2,32€"
"A disque, 230 V",h,"2,19€"
à parquet,h,"4,26€"
"surfaceuse de sol diamètre 450 mm, la journée",U,"81,70€"
"Pour murs et plafonds avec aspirateur, la journée",U,"42,12€"
"à parquet, la journée",U,"157,55€"
Poste à soudure,,
"électrique, la journée de 8 h",U,"18,12€"
"oxydo-acétylène, la journée de 8 h",U,"22,78€"
Rainureuse,,
"murale, 230 V",h,"4,32€"
Rainureuse électrique portative,,
"intensité 80/150 A, la journée de 8 h",U,"16,15€"
Règle vibrante autonome,,
"tension 230 V, la journée de 8 h",U,"31,44€"
Sableuse,,
location à la journée de 8 h,h,"6,23€"
"Capacité 50 litres, pression 7 bar, équipée de porte buse, casque et tuyau",h,"6,69€"
"Capacité 51 à 200 litres, pression 7 bar, équipée de porte buse, casque et tuyau",h,"9,00€"
"Capacité > 200 litres, pression 7 bar, équipée de porte buse, casque et tuyau",h,"9,49€"
casque de sablage,h,"1,23€"
"tuyau de sablage de 10,00 m",h,"1,66€"
Rouleau compresseur,,
"simple, la journée de 8 h",U,"38,33€"
Scie,,
"sur établi, la journée de 8 h",U,"36,23€"
"circulaire électrique, la journée de 8 h",U,"19,64€"
Scie à sol,,
13 cv,h,"6,13€"
6 cv,h,"4,83€"
Shampoingneuse,,
"pour sols, la journée de 8 h",U,"36,43€"
Souffleuse,,
de laine de verre,h,"12,98€"
"de laine de verre, à la journée",j,"426,53€"
Surfaceuse,,
"électrique, de sol, la journée de 8 h",U,"58,86€"
Surpresseur,,
"eau froide, 230V, pression de 100 à 150 bar",h,"6,65€"
"Eau froide, 230V/400V, pression de 160 à 200 bar",h,"7,77€"
"Eau froide, autonome sur roue, pression de 100 à 150 bar",h,"11,02€"
"Eau froide, autonome sur roue, pression de 160 à 200 bar",h,"11,82€"
"Eau froide, autonome sur roue, pression de 201 à 250 bar",h,"16,19€"
"Eau chaude, 230V, pression inférieure à 100 bar",h,"16,51€"
"Eau chaude, diesel sur remorque routière avec 2 lances, pression 200 bar",h,"65,33€"
Table à tapisser,,
la journée de 8 h,U,"6,68€"
Tarière autonome,,
la journée de 8 h,U,"48,38€"
Tendeur à moquette,,
la journée de 8 h,U,"12,44€"
Tondeuse,,
"à gazon essence, puissance fiscale 6 à 7 CV, la journée de 8 h",U,"31,44€"
Tractopelle,,
mini,h,"41,17€"
compact,h,"44,56€"
standard,h,"41,95€"
"standard, à la journée",j,"293,28€"
Tronçonneuse,,
"à bois, guide de 40/50 cm, à essence",h,"5,05€"
forfait pour disque diamanté 400 mm,U,"70,55€"
Pour béton,h,"8,82€"
Tyrolienne,,
"petit modèle, la journée de 8 h",U,"9,31€"
"grand modèle, la journée de 8 h",U,"12,06€"
Talocheuse / Lisseuse,,
"Thermique, diamètre 90 cm, à la journée",U,"45,15€"
Treuil,,
"Electrique 230 V, 200 kg",j,"31,24€"
Pompe à injection produits hydrofuges,j,"41,29€"
Voirie Réseaux Divers,,
Tube PVC AEP,,
"Diamètre 90 mm, PN 10, type U-JK",m,"23,75€"
"Diamètre 110 mm, PN 10, type U-JK",m,"35,25€"
"Diamètre 125 mm, PN 10, type U-JK",m,"45,33€"
"Diamètre 140 mm, PN 10, type U-JK",m,"52,11€"
"Diamètre 160 mm, PN 10, type U-JK",m,"61,02€"
"Diamètre 200 mm, PN 10, type U-JK",m,"94,69€"
"Diamètre 225 mm, PN 10, type U-JK",m,"118,55€"
"Diamètre 250 mm, PN 10, type U-JK",m,"146,81€"
"Diamètre 315 mm, PN 10, type U-JK",m,"233,01€"
"Diamètre 63 mm, PN 16, type U-JK",m,"17,44€"
"Diamètre 75 mm, PN 16, type U-JK",m,"24,14€"
"Diamètre 90 mm, PN 16, type U-JK",m,"35,01€"
"Diamètre 110 mm, PN 16, type U-JK",m,"52,77€"
"Diamètre 125 mm, PN 16, type U-JK",m,"67,82€"
"Diamètre 140 mm, PN 16, type U-JK",m,"78,33€"
"Diamètre 160 mm, PN 16, type U-JK",m,"90,99€"
"Diamètre 200 mm, PN 16, type U-JK",m,"139,21€"
"Diamètre 315 mm, PN 16, type U-JK",m,"344,35€"
"Diamètre 225 mm, PN 16, type U-JK",m,"178,95€"
"Diamètre 250 mm, PN 16, type U-JK",m,"216,87€"
"Diamètre 110 mm, PN 25 type biorienté JK",m,"64,40€"
"Diamètre 140 mm, PN 25 type biorienté JK",m,"81,45€"
"Diamètre 63 mm, PN 16 type biorienté JK",m,"8,99€"
"Diamètre 75 mm, PN 16 type biorienté JK",m,"12,24€"
"Diamètre 90 mm, PN 16 type biorienté JK",m,"15,69€"
"Diamètre 110 mm, PN 16 type biorienté JK",m,"24,88€"
"Diamètre 125 mm, PN 16 type biorienté JK",m,"33,28€"
"Diamètre 140 mm, PN 16 type biorienté JK",m,"37,05€"
"Diamètre 160 mm, PN 16 type biorienté JK",m,"44,28€"
"Diamètre 200 mm, PN 16 type biorienté JK",m,"67,77€"
"Diamètre 250 mm, PN 16 type biorienté JK",m,"99,89€"
"Diamètre 315 mm, PN 16 type biorienté JK",m,"147,91€"
Coude fonte à emboîtement pour série AEP,,
"A 90&deg;, diamètre 63 mm",U,"31,58€"
"A 90&deg;, diamètre 75 mm",U,"41,02€"
